scientific_name,obs_year,obs_month,obs_date,longitude,latitude
Buergeria japonica,2016,7,13,120.758763955694,24.229850854444
Buergeria japonica,2016,10,7,120.758763955694,24.229850854444
Buergeria japonica,2016,7,13,120.758780965292,24.2208216227903
Buergeria japonica,2016,8,13,120.78860004085,24.0493077609525
Buergeria japonica,2016,4,2,120.78860004085,24.0493077609525
Buergeria japonica,2016,4,2,120.78860004085,24.0493077609525
Buergeria japonica,2016,10,7,120.78860004085,24.0493077609525
Buergeria japonica,2016,8,13,120.78860004085,24.0493077609525
Buergeria japonica,2016,8,13,120.78860004085,24.0493077609525
Buergeria japonica,2016,10,7,120.78860004085,24.0493077609525
Buergeria japonica,2016,1,2,120.78860004085,24.0493077609525
Buergeria japonica,2016,10,7,120.78860004085,24.0493077609525
Buergeria japonica,2012,5,6,121.559267968278,24.8971330181245
Buergeria japonica,2012,8,11,121.600397932269,25.2129530343517
Buergeria japonica,2013,5,16,120.611887420854,23.9586674279977
Buergeria japonica,2013,11,2,121.431441271724,25.1413186084554
Buergeria japonica,2014,5,14,120.611887420854,23.9586674279977
Buergeria japonica,2014,5,14,120.611887420854,23.9586674279977
Buergeria japonica,2014,5,14,120.611887420854,23.9586674279977
Buergeria japonica,2014,5,15,120.515140796657,23.5520583482878
Buergeria japonica,2014,5,20,120.621712886616,23.9586919512723
Buergeria japonica,2014,6,12,120.621712886616,23.9586919512723
Buergeria japonica,2014,7,16,120.621712886616,23.9586919512723
Buergeria japonica,2014,7,16,120.621686536935,23.9677213751072
Buergeria japonica,2014,9,12,120.621712886616,23.9586919512723
Buergeria japonica,2015,6,8,120.466093724801,23.5699573631055
Buergeria japonica,2015,7,30,121.41987096671,24.6538210122962
Buergeria japonica,2015,7,30,121.41987096671,24.6538210122962
Buergeria japonica,2015,11,7,121.400141506054,24.6629034859441
Buergeria japonica,2016,4,21,120.611887420854,23.9586674279977
Buergeria japonica,2016,6,1,120.847712109743,23.9500528434656
Buergeria japonica,2016,6,24,120.602034250056,23.967671678782
Buergeria japonica,2016,3,31,120.886541294145,24.4828157472268
Buergeria japonica,2016,4,10,121.687095407619,24.743120124812
Buergeria japonica,2016,3,19,120.700566746203,23.8505107060105
Buergeria japonica,2016,9,16,120.720433463822,23.7421911078311
Buergeria japonica,2016,8,3,120.91641138888,24.0674898994956
Buergeria japonica,2016,8,3,120.91641138888,24.0674898994956
Buergeria japonica,2016,3,28,120.91641138888,24.0674898994956
Buergeria japonica,2016,8,3,120.91641138888,24.0674898994956
Buergeria japonica,2016,8,3,120.91641138888,24.0674898994956
Buergeria japonica,2016,8,3,120.91641138888,24.0674898994956
Buergeria japonica,2016,11,3,120.936083759374,24.0584698813577
Buergeria japonica,2016,1,19,120.847648410681,24.004230282215
Buergeria japonica,2016,1,19,120.847648410681,24.004230282215
Buergeria japonica,2016,3,28,120.847648410681,24.004230282215
Buergeria japonica,2016,11,3,120.847648410681,24.004230282215
Buergeria japonica,2016,8,3,120.857447659949,24.0313283222888
Buergeria japonica,2016,1,19,120.857447659949,24.0313283222888
Buergeria japonica,2016,8,3,120.857447659949,24.0313283222888
Buergeria japonica,2016,8,3,120.877084233184,24.0584338715375
Buergeria japonica,2016,8,3,120.877084233184,24.0584338715375
Buergeria japonica,2016,8,3,120.877084233184,24.0584338715375
Buergeria japonica,2016,8,3,120.877084233184,24.0584338715375
Buergeria japonica,2016,3,28,120.867260277184,24.0493961683718
Buergeria japonica,2016,3,28,120.867260277184,24.0493961683718
Buergeria japonica,2016,8,3,120.867260277184,24.0493961683718
Buergeria japonica,2016,8,3,120.867260277184,24.0493961683718
Buergeria japonica,2016,8,3,120.867260277184,24.0493961683718
Buergeria japonica,2016,3,28,120.867260277184,24.0493961683718
Buergeria japonica,2016,8,3,120.867260277184,24.0493961683718
Buergeria japonica,2016,8,3,120.867260277184,24.0493961683718
Buergeria japonica,2016,11,3,120.867260277184,24.0493961683718
Buergeria japonica,2016,4,21,120.887043569937,23.9139682230817
Buergeria japonica,2016,7,23,120.887043569937,23.9139682230817
Buergeria japonica,2016,7,23,120.887043569937,23.9139682230817
Buergeria japonica,2016,7,23,120.887043569937,23.9139682230817
Buergeria japonica,2016,6,4,120.887035718406,23.9229978795856
Buergeria japonica,2016,6,4,120.887035718406,23.9229978795856
Buergeria japonica,2016,7,22,120.768315211225,24.3923905876353
Buergeria japonica,2016,1,15,120.768315211225,24.3923905876353
Buergeria japonica,2016,1,15,120.768315211225,24.3923905876353
Buergeria japonica,2016,1,16,120.847077492468,24.4827809542776
Buergeria japonica,2016,4,8,120.847077492468,24.4827809542776
Buergeria japonica,2016,4,8,120.847077492468,24.4827809542776
Buergeria japonica,2016,8,8,120.965456729606,24.527999290597
Buergeria japonica,2016,4,6,121.044435043795,24.5911990847795
Buergeria japonica,2016,4,6,121.044435043795,24.5911990847795
Buergeria japonica,2016,4,6,121.044435043795,24.5911990847795
Buergeria japonica,2016,8,8,121.044435043795,24.5911990847795
Buergeria japonica,2016,1,28,121.044435043795,24.5911990847795
Buergeria japonica,2016,1,28,121.044435043795,24.5911990847795
Buergeria japonica,2016,8,8,121.044435043795,24.5911990847795
Buergeria japonica,2016,8,8,121.044435043795,24.5911990847795
Buergeria japonica,2016,8,8,121.044435043795,24.5911990847795
Buergeria japonica,2016,8,8,121.044435043795,24.5911990847795
Buergeria japonica,2016,4,6,121.024687908341,24.6002324871166
Buergeria japonica,2016,1,28,121.024687908341,24.6002324871166
Buergeria japonica,2016,4,6,120.995062772336,24.5912055601532
Buergeria japonica,2016,4,6,120.985191501665,24.5641182373377
Buergeria japonica,2016,4,6,120.985191501665,24.5641182373377
Buergeria japonica,2016,3,31,120.906259836762,24.5008872430854
Buergeria japonica,2016,3,31,120.906259836762,24.5008872430854
Buergeria japonica,2016,3,31,120.906259836762,24.5008872430854
Buergeria japonica,2016,3,31,120.906259836762,24.5008872430854
Buergeria japonica,2016,8,4,120.906259836762,24.5008872430854
Buergeria japonica,2016,3,31,120.896407255318,24.48282283469
Buergeria japonica,2016,3,31,120.896407255318,24.48282283469
Buergeria japonica,2016,3,31,120.896407255318,24.48282283469
Buergeria japonica,2016,4,25,121.311649813975,24.8346564720949
Buergeria japonica,2016,4,25,121.311649813975,24.8346564720949
Buergeria japonica,2016,4,25,121.311649813975,24.8346564720949
Buergeria japonica,2016,4,25,121.311649813975,24.8346564720949
Buergeria japonica,2016,4,20,121.311649813975,24.8346564720949
Buergeria japonica,2016,7,27,121.311649813975,24.8346564720949
Buergeria japonica,2016,4,12,121.311627217285,24.8256280179234
Buergeria japonica,2016,4,12,121.311627217285,24.8256280179234
Buergeria japonica,2016,4,12,121.311627217285,24.8256280179234
Buergeria japonica,2016,4,12,121.311627217285,24.8256280179234
Buergeria japonica,2016,4,12,121.311627217285,24.8256280179234
Buergeria japonica,2016,7,31,121.311627217285,24.8256280179234
Buergeria japonica,2016,7,31,121.311627217285,24.8256280179234
Buergeria japonica,2016,7,31,121.311627217285,24.8256280179234
Buergeria japonica,2016,4,12,121.311627217285,24.8256280179234
Buergeria japonica,2016,4,21,121.321730258054,24.9068626897003
Buergeria japonica,2016,4,9,121.410554734115,24.8253891202482
Buergeria japonica,2016,6,3,121.410554734115,24.8253891202482
Buergeria japonica,2016,6,3,121.410554734115,24.8253891202482
Buergeria japonica,2016,11,19,121.35160731644,24.9699936882816
Buergeria japonica,2016,10,1,121.391310059829,24.9969794375052
Buergeria japonica,2016,10,1,121.391310059829,24.9969794375052
Buergeria japonica,2016,10,1,121.391310059829,24.9969794375052
Buergeria japonica,2016,10,1,121.391310059829,24.9969794375052
Buergeria japonica,2016,12,26,121.371442969973,24.9789738165926
Buergeria japonica,2016,10,19,121.371442969973,24.9789738165926
Buergeria japonica,2016,10,19,121.371442969973,24.9789738165926
Buergeria japonica,2016,4,5,121.3615643817,24.9880264255407
Buergeria japonica,2016,7,23,121.3615643817,24.9880264255407
Buergeria japonica,2016,4,5,121.3615643817,24.9880264255407
Buergeria japonica,2016,7,23,121.3615643817,24.9880264255407
Buergeria japonica,2016,4,5,121.3615643817,24.9880264255407
Buergeria japonica,2016,6,21,121.341752920762,24.988073241141
Buergeria japonica,2016,4,8,121.351658657448,24.988050163009
Buergeria japonica,2016,4,8,121.351658657448,24.988050163009
Buergeria japonica,2016,12,24,120.612478799475,23.7600176440066
Buergeria japonica,2016,10,24,121.39091114847,24.8705839141812
Buergeria japonica,2016,6,11,121.381181149484,24.9247793290274
Buergeria japonica,2016,6,11,121.381181149484,24.9247793290274
Buergeria japonica,2016,6,11,121.391110265824,24.9337819444944
Buergeria japonica,2016,7,23,121.450125355666,24.8252752361972
Buergeria japonica,2016,3,5,121.450125355666,24.8252752361972
Buergeria japonica,2016,6,6,121.450125355666,24.8252752361972
Buergeria japonica,2016,7,15,121.470423411623,24.9606374733756
Buergeria japonica,2016,5,20,121.470423411623,24.9606374733756
Buergeria japonica,2016,7,15,121.470423411623,24.9606374733756
Buergeria japonica,2016,3,29,121.470423411623,24.9606374733756
Buergeria japonica,2016,5,20,121.470423411623,24.9606374733756
Buergeria japonica,2016,5,20,121.470423411623,24.9606374733756
Buergeria japonica,2016,5,20,121.470423411623,24.9606374733756
Buergeria japonica,2016,7,15,121.470423411623,24.9606374733756
Buergeria japonica,2016,7,15,121.470423411623,24.9606374733756
Buergeria japonica,2016,6,23,121.45061660367,24.9606987185472
Buergeria japonica,2016,4,15,121.45061660367,24.9606987185472
Buergeria japonica,2016,4,15,121.45061660367,24.9606987185472
Buergeria japonica,2016,8,19,121.45061660367,24.9606987185472
Buergeria japonica,2016,4,15,121.45061660367,24.9606987185472
Buergeria japonica,2016,4,15,121.45061660367,24.9606987185472
Buergeria japonica,2016,6,23,121.45061660367,24.9606987185472
Buergeria japonica,2016,6,23,121.45061660367,24.9606987185472
Buergeria japonica,2016,6,23,121.45061660367,24.9606987185472
Buergeria japonica,2016,4,27,121.45061660367,24.9606987185472
Buergeria japonica,2016,9,10,121.45061660367,24.9606987185472
Buergeria japonica,2016,9,10,121.45061660367,24.9606987185472
Buergeria japonica,2016,4,27,121.45061660367,24.9606987185472
Buergeria japonica,2016,2,22,121.470423411623,24.9606374733756
Buergeria japonica,2016,2,22,121.470423411623,24.9606374733756
Buergeria japonica,2016,4,3,121.470423411623,24.9606374733756
Buergeria japonica,2016,5,29,121.470389106212,24.951609343121
Buergeria japonica,2016,12,29,121.440648913238,24.9426720073524
Buergeria japonica,2016,5,21,121.539275631796,24.8520652423987
Buergeria japonica,2016,5,21,121.539275631796,24.8520652423987
Buergeria japonica,2016,3,28,121.549609868275,24.9513381348906
Buergeria japonica,2016,2,13,121.559512379841,24.9513012720345
Buergeria japonica,2016,5,3,121.411243102759,25.0330385306504
Buergeria japonica,2016,6,1,121.351556025138,24.9519371696693
Buergeria japonica,2016,7,20,121.361485220163,24.9609417261764
Buergeria japonica,2016,7,20,121.361485220163,24.9609417261764
Buergeria japonica,2016,3,31,121.202615165982,24.7084433134513
Buergeria japonica,2016,3,31,121.202615165982,24.7084433134513
Buergeria japonica,2016,3,31,121.202615165982,24.7084433134513
Buergeria japonica,2016,5,20,121.024698551799,24.6544054770803
Buergeria japonica,2016,5,20,121.024698551799,24.6544054770803
Buergeria japonica,2016,5,20,121.024698551799,24.6544054770803
Buergeria japonica,2016,5,20,121.024698551799,24.6544054770803
Buergeria japonica,2016,7,30,121.024698551799,24.6544054770803
Buergeria japonica,2016,10,21,121.024698551799,24.6544054770803
Buergeria japonica,2016,5,5,121.034572999518,24.6363459104672
Buergeria japonica,2016,5,5,121.034572999518,24.6363459104672
Buergeria japonica,2016,2,27,121.034572999518,24.6363459104672
Buergeria japonica,2016,7,30,121.034572999518,24.6363459104672
Buergeria japonica,2016,2,28,121.014823399193,24.690521887839
Buergeria japonica,2016,5,22,121.014824467434,24.6995506386836
Buergeria japonica,2016,5,22,121.014824467434,24.6995506386836
Buergeria japonica,2016,3,17,121.024705664744,24.6905205868497
Buergeria japonica,2016,3,17,121.024705664744,24.6905205868497
Buergeria japonica,2016,3,17,121.024705664744,24.6905205868497
Buergeria japonica,2016,3,17,121.024705664744,24.6905205868497
Buergeria japonica,2016,3,17,121.024705664744,24.6905205868497
Buergeria japonica,2016,3,17,121.024705664744,24.6905205868497
Buergeria japonica,2016,3,17,121.024705664744,24.6905205868497
Buergeria japonica,2016,3,17,121.024705664744,24.6905205868497
