scientific_name,obs_year,obs_month,obs_date,longitude,latitude
Japalura swinhonis,2011,11,3,121.47196088336,22.6671191107447
Japalura swinhonis,2013,6,15,121.229457696102,23.1282209027437
Japalura swinhonis,2013,6,17,120.494334472557,23.8680308388108
Japalura swinhonis,2013,6,17,121.49529911967,23.7235911153312
Japalura swinhonis,2013,6,19,120.534379980628,23.6514453758483
Japalura swinhonis,2013,6,29,120.398788460005,23.2897846806545
Japalura swinhonis,2013,6,29,121.560208747658,25.1047758383874
Japalura swinhonis,2013,7,2,121.209831294649,23.0650341448036
Japalura swinhonis,2013,7,2,121.209817295318,23.0560035377849
Japalura swinhonis,2013,7,2,121.200058398404,23.0560161879318
Japalura swinhonis,2013,7,6,120.711218175475,23.4712753720528
Japalura swinhonis,2013,7,6,120.73005632149,23.8325058077239
Japalura swinhonis,2013,7,7,121.40124577566,25.0059812104674
Japalura swinhonis,2013,7,10,121.151344702777,23.1283152032087
Japalura swinhonis,2013,7,10,121.122060409222,23.1373711564783
Japalura swinhonis,2013,7,10,121.122060409222,23.1373711564783
Japalura swinhonis,2013,7,10,121.122060409222,23.1373711564783
Japalura swinhonis,2013,7,10,121.161108848225,23.1283055313354
Japalura swinhonis,2013,7,10,121.131825222726,23.1373632946487
Japalura swinhonis,2013,7,10,121.17087298825,23.1282952549777
Japalura swinhonis,2013,7,10,121.17087298825,23.1282952549777
Japalura swinhonis,2013,7,12,121.200205598905,23.1553523575864
Japalura swinhonis,2013,7,12,120.514742151061,23.6604149144771
Japalura swinhonis,2013,7,14,121.386830569259,23.5252431189763
Japalura swinhonis,2013,10,9,121.481628750232,22.6490285393466
Japalura swinhonis,2013,10,9,121.481628750232,22.6490285393466
Japalura swinhonis,2013,10,10,121.481628750232,22.6490285393466
Japalura swinhonis,2013,10,10,120.486871461436,23.2630070246453
Japalura swinhonis,2013,10,12,121.481628750232,22.6490285393466
Japalura swinhonis,2013,10,13,121.351556025138,24.9519371696693
Japalura swinhonis,2013,10,16,120.36971724021,23.2354902235582
Japalura swinhonis,2013,10,22,121.481628750232,22.6490285393466
Japalura swinhonis,2013,10,24,121.481628750232,22.6490285393466
Japalura swinhonis,2013,10,25,121.481628750232,22.6490285393466
Japalura swinhonis,2013,10,29,120.485685991066,23.5700234223142
Japalura swinhonis,2013,10,30,120.621712886616,23.9586919512723
Japalura swinhonis,2013,10,30,121.481628750232,22.6490285393466
Japalura swinhonis,2013,11,4,121.481628750232,22.6490285393466
Japalura swinhonis,2013,11,4,121.481628750232,22.6490285393466
Japalura swinhonis,2013,11,10,121.481628750232,22.6490285393466
Japalura swinhonis,2013,11,16,120.328812310341,23.5965141451974
Japalura swinhonis,2013,11,16,120.328812310341,23.5965141451974
Japalura swinhonis,2013,12,8,120.496780558542,23.2269182356791
Japalura swinhonis,2013,12,9,120.515107667061,23.5610881200917
Japalura swinhonis,2014,1,18,121.529998165123,24.9965500180634
Japalura swinhonis,2014,3,6,120.611887420854,23.9586674279977
Japalura swinhonis,2014,3,9,120.572227466208,24.0669147750082
Japalura swinhonis,2014,3,16,120.611887420854,23.9586674279977
Japalura swinhonis,2014,3,16,120.611887420854,23.9586674279977
Japalura swinhonis,2014,3,16,120.611887420854,23.9586674279977
Japalura swinhonis,2014,3,24,120.612745483788,23.669720593124
Japalura swinhonis,2014,3,25,121.053713814878,23.1554703874148
Japalura swinhonis,2014,3,25,121.431061615062,25.0329823695998
Japalura swinhonis,2014,3,26,121.540022753367,25.0235983018827
Japalura swinhonis,2014,3,28,120.876937422682,24.2119336350742
Japalura swinhonis,2014,3,28,121.341952983947,25.0602987764631
Japalura swinhonis,2014,3,29,120.47617594345,23.4977527522495
Japalura swinhonis,2014,3,30,120.788967375922,23.8235679779013
Japalura swinhonis,2014,3,30,120.467288452414,23.2719719641493
Japalura swinhonis,2014,3,30,120.418417700073,23.2717984959416
Japalura swinhonis,2014,3,30,120.798782798533,23.8235810993435
Japalura swinhonis,2014,3,30,120.798768871509,23.8326108235199
Japalura swinhonis,2014,4,2,121.511350006611,25.2764828205337
Japalura swinhonis,2014,4,5,120.503078866506,24.1479688477964
Japalura swinhonis,2014,4,6,121.024705664744,24.6905205868497
Japalura swinhonis,2014,4,6,121.024705664744,24.6905205868497
Japalura swinhonis,2014,4,6,121.024705664744,24.6905205868497
Japalura swinhonis,2014,4,8,120.494299400428,23.8770602135104
Japalura swinhonis,2014,4,8,120.436551261861,23.6059721314316
Japalura swinhonis,2014,4,12,120.935848223327,24.5279896057328
Japalura swinhonis,2014,4,13,120.758899798683,24.1576167013632
Japalura swinhonis,2014,4,13,121.539943784791,25.0055423773761
Japalura swinhonis,2014,4,13,120.758899798683,24.1576167013632
Japalura swinhonis,2014,4,14,120.798768871509,23.8326108235199
Japalura swinhonis,2014,4,14,120.641488576687,23.9135917330294
Japalura swinhonis,2014,4,14,120.936128368447,23.9681743119181
Japalura swinhonis,2014,4,16,120.57361846441,23.642528433524
Japalura swinhonis,2014,4,16,120.593221820014,23.6425810916988
Japalura swinhonis,2014,4,16,120.603023518798,23.6426064915973
Japalura swinhonis,2014,4,16,120.612851787147,23.6336014772525
Japalura swinhonis,2014,4,18,120.515107667061,23.5610881200917
Japalura swinhonis,2014,4,18,120.515107667061,23.5610881200917
Japalura swinhonis,2014,5,20,120.611887420854,23.9586674279977
Japalura swinhonis,2014,5,21,120.495482150631,23.5700555259713
Japalura swinhonis,2014,5,21,120.63479237778,22.7757691275109
Japalura swinhonis,2014,5,22,120.417153224272,23.5607517954523
Japalura swinhonis,2014,5,23,120.486071730681,23.4706959146477
Japalura swinhonis,2014,5,23,120.486071730681,23.4706959146477
Japalura swinhonis,2014,5,24,120.515107667061,23.5610881200917
Japalura swinhonis,2014,5,26,120.48565081887,23.5790531325875
Japalura swinhonis,2014,5,26,120.495378592061,23.5971446664449
Japalura swinhonis,2014,5,26,121.034186106432,23.1735369295543
Japalura swinhonis,2014,5,26,121.024423566325,23.2006303135798
Japalura swinhonis,2014,5,26,120.477589381454,23.1365529463185
Japalura swinhonis,2014,5,27,120.495551103784,23.5519960463156
Japalura swinhonis,2014,5,28,120.495482150631,23.5700555259713
Japalura swinhonis,2014,5,28,120.495482150631,23.5700555259713
Japalura swinhonis,2014,5,28,120.495482150631,23.5700555259713
Japalura swinhonis,2014,5,28,120.505278327374,23.5700870123242
Japalura swinhonis,2014,5,28,120.505278327374,23.5700870123242
Japalura swinhonis,2014,5,28,120.51507452096,23.5701178813687
Japalura swinhonis,2014,5,28,120.51507452096,23.5701178813687
Japalura swinhonis,2014,5,28,120.51507452096,23.5701178813687
Japalura swinhonis,2014,5,28,120.51507452096,23.5701178813687
Japalura swinhonis,2014,5,28,120.524903207619,23.561118358863
Japalura swinhonis,2014,5,28,120.524903207619,23.561118358863
Japalura swinhonis,2014,5,28,120.524903207619,23.561118358863
Japalura swinhonis,2014,5,28,120.524903207619,23.561118358863
Japalura swinhonis,2014,5,28,120.524903207619,23.561118358863
Japalura swinhonis,2014,5,28,120.524903207619,23.561118358863
Japalura swinhonis,2014,5,28,120.524903207619,23.561118358863
Japalura swinhonis,2014,5,28,120.524903207619,23.561118358863
Japalura swinhonis,2014,5,28,120.524903207619,23.561118358863
Japalura swinhonis,2014,5,28,120.524903207619,23.561118358863
Japalura swinhonis,2014,5,28,120.524903207619,23.561118358863
Japalura swinhonis,2014,5,28,120.515140796657,23.5520583482878
Japalura swinhonis,2014,5,28,120.515140796657,23.5520583482878
Japalura swinhonis,2014,5,28,120.505312143008,23.5610572642722
Japalura swinhonis,2014,5,28,120.515140796657,23.5520583482878
Japalura swinhonis,2014,5,28,120.515140796657,23.5520583482878
Japalura swinhonis,2014,5,28,120.515140796657,23.5520583482878
Japalura swinhonis,2014,5,28,121.341952983947,25.0602987764631
Japalura swinhonis,2014,5,30,121.386830569259,23.5252431189763
Japalura swinhonis,2014,5,30,120.506882571479,23.136647282843
Japalura swinhonis,2014,5,30,121.411303324076,25.0510947266187
Japalura swinhonis,2014,5,31,120.712150198074,23.03781951339
Japalura swinhonis,2014,5,31,120.515107667061,23.5610881200917
Japalura swinhonis,2014,5,31,120.495482150631,23.5700555259713
Japalura swinhonis,2014,5,31,120.505278327374,23.5700870123242
Japalura swinhonis,2014,5,31,120.505278327374,23.5700870123242
Japalura swinhonis,2014,5,31,120.505278327374,23.5700870123242
Japalura swinhonis,2014,5,31,120.505278327374,23.5700870123242
Japalura swinhonis,2014,5,31,120.505278327374,23.5700870123242
Japalura swinhonis,2014,5,31,120.51507452096,23.5701178813687
Japalura swinhonis,2014,5,31,120.51507452096,23.5701178813687
Japalura swinhonis,2014,5,31,120.51507452096,23.5701178813687
Japalura swinhonis,2014,5,31,120.51507452096,23.5701178813687
Japalura swinhonis,2014,6,1,121.51033502577,25.0327312993672
Japalura swinhonis,2014,6,2,120.847860008308,23.8236373342385
Japalura swinhonis,2014,6,2,120.53444386431,23.6333859811313
Japalura swinhonis,2014,6,28,121.341952983947,25.0602987764631
